이름,작업 유형,계획된 시작,계획된 끝
버림기초,Construct,2026-07-01,2026-07-07
직접기초,Construct,2026-07-08,2026-07-20
매스기초,Construct,2026-07-08,2026-07-18
교각기둥,Construct,2026-07-21,2026-08-20
교대벽체,Construct,2026-07-21,2026-08-10
A1_날개벽,Construct,2026-08-11,2026-08-20
A2_날개벽,Construct,2026-08-11,2026-08-20
교각코핑,Construct,2026-08-21,2026-09-05
보강콘크리트블럭,Construct,2026-09-06,2026-09-12
솔플레이트,Construct,2026-09-13,2026-09-18
무수축몰탈,Construct,2026-09-19,2026-09-24
교량받침,Construct,2026-09-25,2026-09-30
BEAM-30m,Construct,2026-10-01,2026-10-07
PSC BEAM-35m,Construct,2026-10-08,2026-10-18
IT BEAM-40m,Construct,2026-10-19,2026-10-30
강합성계열-60m,Construct,2026-10-31,2026-11-10
슬래브,Construct,2026-11-11,2026-11-25
공동구,Construct,2026-11-26,2026-11-30
난간벽,Construct,2026-12-01,2026-12-07
탈선방지벽,Construct,2026-12-08,2026-12-14
